ARBANS010010,BMA,XBUE
ARP290071462,COME,XBUE
ARP495251018,GGAL,XBUE
ARP9028N1016,TECO2,XBUE
ARPERE010103,PESA,XBUE
ARSIDE010029,ERAR,XBUE
AT0000743059,OMV,XDBC
AU000000AMP6,AMP,XNZE
AU000000UGL5,UGL,XASX
BE0389552978,I:BELCU,XBRU
BE0389555039,I:BEL20,XBRU
BE0389856130,I:BELM,XBRU
BMG0451H1170,ARCHER,MERK
BMG1738J1247,BWO,MERK
BMG348041077,142,XGEM
BMG3682E1921,FRO,MERK
BMG396372051,GOGL,MERK
BMG454221059,HLNG,MERK
BMG5137R1088,JIN,MERK
BMG6635W1029,NOF,MERK
BMG684371393,2343,XGEM
BMG7945E1057,SDRL,MERK
CA56501R1064,945,XGEM
CA9506771042,WRL,MERK
CA9600081009,F44W,XFRA
CH0000629821,I:SMCI,XSWX
CH0002168083,PWTN,LIQU
CH0002497458,SGSN,LIQU
CH0008742519,SCMN,LIQU
CH0009002962,BARN,LIQU
CH0009980894,I:SMI,XSWX
CH0009987501,I:SXGE,XSWX
CH0011029946,IFCN,LIQU
CH0025238863,KNIN,LIQU
CH0038863350,NESN,LIQU
CH0102659627,GAM,LIQU
CH0126881561,SREN,LIQU
CH0198251305,EEE,ENAX
CNE1000001T8,2600,XGEM
CNE1000001Z5,3988,XGEM
CNE1000002H1,939,XGEM
CNE1000003G1,1398,XGEM
CNE100000PP1,2208,XGEM
CY0100470919,PRS,MERK
CY0100962113,SONG,MERK
CZ0005112300,CEZ,XPRA
CZ0008040318,MONET,XPRA
DE0005140008,DBK,XDBC
DE0005501357,SPR,XDBC
DE0005557508,DTE,XDBC
DE0005772206,FIE,XDBC
DE0005773303,FRA,XDBC
DE0006048432,HEN3,XDBC
DE0006062144,1COV,XDBC
DE0006599905,MRK,XDBC
DE0007472060,WDI,XDBC
DE0008402215,HNR1,XDBC
DE0008430026,MUV2,ETFP
DE0008469008,I:DAX,XDBC
DE000A0CAYB2,WIN,XDBC
DE000A0D6554,NDX1,XDBC
DE000A0EPUH1,ISH2,XDBC
DE000A1H6VM4,WGF1,XDBC
DE000A1J5RX9,O2D,XDBC
DE000WCH8881,WCH,XDBC
DK0016268840,OMXC20,XICE
DK0060052843,ADMCAP-B,XCSE
DK0060336014,NZYM-B,XCSE
DK0060448595,COLO-B,XCSE
DK0060488385,OMXCPI,XICE
DK0060534915,NOVO-B,XCSE
ES0113211835,BBVA,MABX
ES0113211835,BBVA\*,XMEX
ES0143416115,FGTQ1,XFRA
ES0143416115,GAM,MABX
ES0148396007,IXD1,XDBC
ES0161560018,NHH,MABX
ES0173516115,REP,MABX
ES0176252718,SOL,MABX
ES0177542018,IAG,MABX
ES0SI0000005,I:IB,MABX
FI0008900212,OMXH25,XICE
FR0000060501,CFAO,
FR0000130809,GLE,ETFP
FR0000131708,TEC,XPAR
FR0003502079,I:N100,XPAR
FR0003502087,I:N150,XPAR
FR0003999481,I:PX4,XPAR
FR0003999499,I:CACT,XPAR
GB0001411924,FBSB,XFRA
GB0005405286,5,XGEM
GB0006640972,FOUR-POUNDS,XLON
GB0030544687,GWP,XLON
GB00B42CTW68,NWR,WBCL
GB00B5LJSC86,AWDR,MERK
GB00BZ21RF93,STAGR,XPAE
GRS015003007,ALPHA,ENAX
GRS074083007,TITK,ENAX
HK0000069689,1299,XGEM
HK0656038673,656,XGEM
IE00BBR67J55,E1:GN1,XDUB
IL0004750209,debugDelekRSS,XLON
IL0004750209,DEDR.L,XTAE
IT0000068525,SPM,ETFP
IT0000072618,ISP,ETFP
IT0000214293,TYA,ETFP
IT0001006128,ADB,ETFP
IT0001479374,LUX,ETFP
IT0003132476,ENI,ETFP
IT0003874101,1913,XGEM
IT0004176001,PRY,ETFP
JE00B61ZHN74,SSC,MERK
KYG2052F1028,CCAP,XLON
KYG3774X1088,3800,XGEM
LU0075646355,SUBC,MERK
LU0088087324,SESG,XLUX
LU0156801721,TEN,ETFP
LU0156801721,TS\*,XMEX
LU0156801721,TS,XBUE
LU0290697514,DIS,ETFP
LU0322252171,XAXJ,
LU0383812293,REINI,XLUX
LU0488722801,FNPK,XFRA
MX01GA000004,GAP\B,XMEX
MX01IE060002,IENOVA\*,XMEX
MX01ME090003,MEGA\CPO,XMEX
MX01WA000038,WALMEX\*,XMEX
MXP001661018,ASUR\B,XMEX
MXP001691213,AMX\L,XMEX
MXP2861W1067,KOF\L,XMEX
NL0000249142,I:ASCX,XAMS
NL0000249274,I:AMX,XAMS
NL0000375749,KTC,XAMS
NL0010545661,CNHI,ETFP
NL0010832176,ARGX,XAMS
NL0011585146,RACE,ETFP
NO0000000021,I:OBX,MERK
NO0003028904,SCHA,MERK
NO0003028904,SCH,MERK
NO0003054108,MHG,MERK
NO0003067902,HEX,MERK
NO0003078800,TGS,MERK
NO0003089005,FOE,MERK
NO0003089005,FOEO,
NO0003733800,ORK,MERK
NO0003921009,DNO,MERK
NO0005052605,NHY,MERK
NO0005668905,TOM,MERK
NO0007033751,I:OSE3520GI,MERK
NO0007033991,I:OSE10GI,MERK
NO0007034122,I:OSE1010GI,MERK
NO0007035327,I:OSEBX,MERK
NO0007042299,I:OSE101010GI,MERK
NO0010096985,STL,MERK
NO0010112675,REC,MERK
NO0010199151,PGS,MERK
NO0010208051,YAR,MERK
NO0010215684,AKA,MERK
NO0010262686,RISH,MERK
NO0010310956,SALM,MERK
NO0010358484,EMGS,MERK
NO0010582521,GJF,MERK
NO0010629108,NEXT,MERK
NO0010716582,AKSO,MERK
NO0010736879,SCHB,MERK
NO0010739402,SKBN,MERK
NZNZOE0002S4,NZO,XNZE
NZPAYE0003S9,PPH,XNZE
NZSKCE0001S2,SKC,XNZE
QS0010980447,I:SIIC,XPAR
QS0010989109,I:CN20,XPAR
QS0010989133,I:CACMS,XPAR
QS0010989141,I:PAX,XPAR
QS0011095955,I:BIOTK,XPAR
QS0011211198,I:CACEN,XPAR
SE0000427361,NDA-DKK,XSTO
SE0000526626,MSAB-B,XSTO
SE0000744195,OMXSPI,XICE
SE0001776675,OMXCMCPI,XSTO
SE0001809476,OMXN40,XICE
SE0002216713,VICP-A,XSTO
SE0006886750,ATCO-A,XSTO
SE0007100581,ASSA-B,XSTO
SE0008373906,KINV-B,XSTO
SE0008374250,FING-B,XSTO
SG1R89002252,C09,XSCA
SG1T06929205,G92,XSCA
SG1T49930665,B58,XSCA
SG1T75931496,Z74,XSCA
SG2C26962630,MC0,XSCA
US4062161017,HAL,XDBC
US45254C1018,IMNP,
US56824R2058,MHG,XNYS
USN070451026,ASMI,XNGS
VGG6777T1562,OSU,XTSE
VGG812641063,SRX,XLON